Street Name,Low Range,High Range,Side,,Ward
ABERDEEN RD,19,55,O,07208,4
ABERDEEN RD,24,42,E,07208,4
ACME ST,116,152,E,07202,3
ACME ST,123,149,O,07202,3
ADAMS AVE,468,484,E,07201,5
ADAMS AVE,501,661,O,07201,5
ADAMS AVE,510,598,E,07201,5
ADAMS AVE,600,854,E,07201,5
ADAMS AVE,709,1037,O,07201,5
ADAMS AVE,910,1042,E,07201,5
ALGONQUIN PL,6,30,E,07208,4
ALGONQUIN PL,17,25,O,07208,4
ALINA ST,1026,1030,E,07201,5
ALINA ST,1027,1053,O,07201,5
ALINA ST,1048,1058,E,07201,5
ALINA ST,1068,1090,E,07201,5
ALINA ST,1091,1091,O,07201,5
ALINA ST,1109,1109,O,07201,5
ALINA ST,1110,1142,E,07201,5
ALINA ST,1257,1321,O,07208,4
ALINA ST,1325,1381,O,07208,4
ALINA ST,1348,1382,E,07208,4
ALLEN ST,416,440,E,07202,2
ALLEN ST,713,863,O,07202,2
ALTON ST,116,1188,E,07202,3
ALTON ST,119,131,O,07202,3
AMBOY AVE,645,663,O,07202,2
AMITY ST,9,235,O,07202,6
AMITY ST,10,232,E,07202,6
AMITY ST,303,423,O,07202,6
AMITY ST,310,428,E,07202,6
ANNA ST,813,819,O,07201,5
ANNA ST,821,829,O,07201,5
ANNA ST,831,955,O,07201,5
ANNA ST,864,954,E,07201,5
ANNA ST,1009,1039,O,07201,5
ANNA ST,1010,1038,E,07201,5
ANNA ST,1050,1116,E,07201,5
ANNA ST,1051,1161,O,07201,5
ANNA ST,1140,1158,E,07201,5
APPLEGATE AVE,1036,1140,E,07202,2
APPLEGATE AVE,1037,1131,O,07202,2
ARNETT ST,601,635,O,07202,2
ATALANTA PLZ,1,1,O,07206,1
ATLANTIC ST,11,329,O,07206,1
ATLANTIC ST,12,330,E,07206,1
AUGUSTA ST,1008,1030,E,07201,5
AUGUSTA ST,1009,1033,O,07201,5
BAILEY AVE,611,635,O,07208,3
BAILEY AVE,612,650,E,07208,3
BAILEY AVE,701,767,O,07208,3
BAILEY AVE,704,856,E,07208,3
BAILEY AVE,771,857,O,07208,3
BAKER PL,611,615,O,07208,3
BALDWIN PL,59,65,O,07208,3
BANK ST,18,72,E,07201,6
BANK ST,21,43,O,07201,6
BARNARD PL,1,29,O,07208,4
BARNARD PL,16,32,E,07208,4
BAUER TER,40,40,E,07208,4
BAYWAY AVE,21,545,O,07202,2
BAYWAY AVE,520,562,E,07202,2
BAYWAY AVE,633,633,O,07202,2
BAYWAY AVE,714,848,E,07202,2
BAYWAY AVE,721,731,O,07202,2
BAYWAY AVE,803,805,O,07202,2
BAYWAY AVE,807,843,O,07202,2
BAYWAY CIR,853,865,O,07202,2
BELLEVUE ST,5,23,O,07202,2
BELLEVUE ST,10,28,E,07202,2
BELLEVUE ST,36,50,E,07202,2
BELLEVUE ST,41,51,O,07202,2
BELLEVUE ST,131,145,O,07202,3
BELLEVUE ST,136,154,E,07202,3
BELLEVUE ST,164,174,E,07202,3
BELLEVUE ST,165,173,O,07202,3
BELLEVUE ST,186,192,E,07202,3
BELLEVUE ST,187,193,O,07202,3
BELLWOOD PL,14,44,E,07208,3
BELLWOOD PL,27,43,O,07208,3
BERKELEY PL,9,13,O,07208,3
BERKELEY PL,10,18,E,07208,3
BERWICK ST,117,143,O,07202,3
BERWICK ST,120,138,E,07202,3
BOND ST,67,83,O,07206,1
BOND ST,68,78,E,07206,1
BOND ST,100,162,E,07206,1
BOND ST,101,163,O,07206,1
BOND ST,210,254,E,07206,1
BOND ST,213,255,O,07206,1
BOND ST,307,339,O,07206,1
BOND ST,308,338,E,07206,1
BOND ST,502,562,E,07206,5
BOND ST,513,563,O,07206,5
BOND ST,612,618,E,07206,5
BOND ST,620,620,E,07206,5
BOND ST,805,955,O,07201,5
BOND ST,852,942,E,07201,5
BOND ST,1009,1039,O,07201,5
BOND ST,1012,1046,E,07201,5
BOND ST,1050,1086,E,07201,5
BOND ST,1051,1081,O,07201,5
BONNETT ST,707,727,O,07202,2
BOUDINOT PL,1008,1048,E,07201,5
BOUDINOT PL,1021,1029,O,07201,5
BOXWOOD CT,329,343,O,07202,6
BOXWOOD CT,334,342,E,07202,6
BOYLE PL,9,27,O,07202,2
BOYLE PL,10,26,E,07202,2
BRITTON ST,600,626,E,07202,2
BRITTON ST,601,627,O,07202,2
BRITTON ST,628,640,E,07202,2
BRITTON ST,629,641,O,07202,2
BROAD ST,5,99,O,07201,6
BROAD ST,6,6,E,07201,6
BROAD ST,56,64,E,07201,6
BROAD ST,90,90,E,07201,6
BROAD ST,100,140,E,07201,5
BROAD ST,101,233,O,07201,5
BROAD ST,202,210,E,07201,4
BROADWAY,63,155,O,07206,1
BROADWAY,106,160,E,07206,1
BROADWAY,253,259,O,07206,1
BROADWAY,308,334,E,07206,1
BROADWAY,335,335,O,07206,1
BROADWAY,342,454,E,07206,1
BROADWAY,456,456,E,07206,1
BROADWAY,508,548,E,07206,1
BROADWAY,509,521,O,07206,5
BROWNING AVE,100,100,E,07208,3
BROWNING AVE,127,137,O,07208,3
BROWNING AVE,150,240,E,07208,3
BROWNING AVE,165,247,O,07208,3
BRUNSWICK AVE,764,764,E,07202,2
BRUNSWICK AVE,766,768,E,07202,2
BURNET ST,112,146,E,07202,2
BURNHAM RD,508,530,E,07202,2
BURNHAM RD,509,531,O,07202,2
BUTLER ST,9,73,O,07206,1
BYRON AVE,966,1114,E,07208,3
BYRON AVE,973,1119,O,07208,3
CANTON ST,701,743,O,07202,3
CANTON ST,708,820,E,07202,3
CANTON ST,749,819,O,07202,3
CARLTON ST,715,725,O,07202,2
CARLTON ST,716,720,E,07202,2
CAROLYNN RD,5,39,O,07201,5
CAROLYNN RD,12,26,E,07201,5
CARRINGTON ST,1310,1318,E,07208,4
CARRINGTON ST,1311,1319,O,07208,4
CARRINGTON ST,1334,1334,E,07208,4
CARTERET ST,619,663,O,07202,2
CATHERINE ST,7,39,O,07201,6
CATHERINE ST,14,36,E,07201,6
CATHERINE ST,110,140,E,07201,5
CATHERINE ST,115,143,O,07201,5
CATHERINE ST,152,184,E,07201,5
CATHERINE ST,157,217,O,07201,5
CATHERINE ST,408,452,E,07201,5
CATHERINE ST,409,495,O,07201,5
CEDAR AVE,10,38,E,07202,2
CEDAR AVE,11,17,O,07202,2
CEDAR AVE,700,700,E,07202,2
CEDAR AVE,708,764,E,07202,2
CEDAR AVE,709,765,O,07202,2
CENTRE ST,9,223,O,07202,6
CENTRE ST,10,232,E,07202,6
CENTRE ST,231,231,O,07202,6
CENTRE ST,301,339,O,07202,6
CENTRE ST,308,410,E,07202,6
CHANCELLOR ST,760,808,E,07202,3
